"X","Y","R","G","B"
"0","0","101","255","118"
"1","0","95","249","112"
"2","0","115","13","132"
"3","0","101","255","118"
"4","0","95","249","112"
"5","0","115","13","132"
"6","0","101","255","118"
"7","0","95","249","112"
"8","0","115","13","132"
"9","0","101","255","118"
"10","0","95","249","112"
"11","0","115","13","132"
"12","0","101","255","118"
"13","0","95","249","112"
"14","0","115","13","132"
"15","0","101","255","118"
"16","0","95","249","112"
"17","0","115","13","132"
"18","0","101","255","118"
"19","0","95","249","112"
"20","0","115","13","132"
"21","0","101","255","118"
"22","0","95","249","112"
"23","0","115","13","132"
"24","0","101","255","118"
"25","0","95","249","112"
"26","0","115","13","132"
"27","0","101","255","118"
"28","0","95","249","112"
"29","0","115","13","132"
"30","0","101","255","118"
"31","0","95","249","112"
"32","0","115","13","132"
"33","0","101","255","118"
"34","0","95","249","112"
"35","0","115","13","132"
"36","0","101","244","140"
"37","0","95","238","134"
"38","0","115","2","176"
"39","0","101","244","162"
"40","0","95","238","167"
"41","0","115","2","187"
"42","0","101","244","162"
"43","0","95","238","156"
"44","0","115","2","154"
"45","0","101","244","140"
"46","0","95","249","112"
"47","0","115","13","132"
"48","0","101","255","118"
"49","0","95","249","112"
"50","0","115","13","132"
"51","0","101","255","118"
"52","0","95","249","112"
"53","0","115","13","132"
"54","0","101","255","118"
"55","0","95","249","112"
"56","0","115","13","132"
"57","0","101","255","118"
"58","0","95","249","112"
"59","0","115","13","132"
"60","0","101","244","140"
"61","0","95","238","134"
"62","0","115","2","154"
"63","0","101","244","140"
"64","0","95","249","112"
"65","0","115","13","132"
"66","0","101","255","118"
"67","0","95","249","112"
"68","0","115","13","132"
"69","0","101","255","118"
"70","0","95","249","112"
"71","0","115","13","132"
"72","0","101","255","118"
"73","0","95","249","112"
"74","0","115","13","132"
"75","0","101","255","118"
"76","0","95","238","134"
"77","0","115","2","154"
"78","0","101","244","162"
"79","0","95","238","156"
"80","0","115","13","132"
"81","0","101","255","118"
"82","0","95","249","112"
"83","0","115","13","132"
"84","0","101","255","118"
"85","0","95","249","112"
"86","0","115","13","132"
"87","0","101","255","118"
"88","0","95","249","112"
"89","0","115","13","132"
"90","0","101","255","118"
"91","0","95","249","112"
"92","0","115","13","132"
"93","0","101","255","118"
"94","0","95","249","112"
"95","0","115","13","132"
"96","0","101","255","118"
"97","0","95","249","112"
"98","0","115","13","132"
"99","0","101","255","118"
"0","1","95","249","112"
"1","1","115","13","132"
"2","1","101","255","118"
"3","1","95","249","112"
"4","1","115","13","132"
"5","1","101","255","118"
"6","1","95","249","112"
"7","1","115","13","132"
"8","1","101","255","118"
"9","1","95","249","112"
"10","1","115","13","132"
"11","1","101","255","118"
"12","1","95","249","112"
"13","1","115","13","132"
"14","1","101","255","118"
"15","1","95","249","112"
"16","1","115","13","132"
"17","1","101","255","118"
"18","1","95","249","112"
"19","1","115","13","132"
"20","1","101","255","118"
"21","1","95","249","112"
"22","1","115","13","132"
"23","1","101","255","118"
"24","1","95","249","112"
"25","1","115","13","132"
"26","1","101","255","118"
"27","1","95","249","112"
"28","1","115","13","132"
"29","1","101","255","118"
"30","1","95","249","112"
"31","1","115","13","132"
"32","1","101","255","118"
"33","1","95","249","112"
"34","1","115","13","132"
"35","1","101","255","118"
"36","1","95","249","112"
"37","1","115","2","154"
"38","1","101","244","140"
"39","1","95","238","156"
"40","1","115","2","176"
"41","1","101","244","162"
"42","1","95","238","134"
"43","1","115","2","154"
"44","1","101","244","140"
"45","1","95","249","112"
"46","1","115","13","132"
"47","1","101","255","118"
"48","1","95","249","112"
"49","1","115","13","132"
"50","1","101","255","118"
"51","1","95","249","112"
"52","1","115","13","132"
"53","1","101","255","118"
"54","1","95","249","112"
"55","1","115","13","132"
"56","1","101","255","118"
"57","1","95","249","112"
"58","1","115","13","132"
"59","1","101","255","118"
"60","1","95","238","134"
"61","1","115","2","154"
"62","1","101","244","140"
"63","1","95","238","134"
"64","1","115","13","132"
"65","1","101","255","118"
"66","1","95","249","112"
"67","1","115","13","132"
"68","1","101","255","118"
"69","1","95","249","112"
"70","1","115","13","132"
"71","1","101","255","118"
"72","1","95","249","112"
"73","1","115","13","132"
"74","1","101","255","118"
"75","1","95","249","112"
"76","1","115","2","154"
"77","1","101","244","140"
"78","1","95","238","134"
"79","1","115","2","154"
"80","1","101","255","118"
"81","1","95","249","112"
"82","1","115","13","132"
"83","1","101","255","118"
"84","1","95","249","112"
"85","1","115","13","132"
"86","1","101","255","118"
"87","1","95","249","112"
"88","1","115","13","132"
"89","1","101","255","118"
"90","1","95","249","112"
"91","1","115","13","132"
"92","1","101","255","118"
"93","1","95","249","112"
"94","1","115","13","132"
"95","1","101","255","118"
"96","1","95","249","112"
"97","1","115","13","132"
"98","1","101","255","118"
"99","1","95","249","112"
"0","2","115","13","132"
"1","2","101","255","118"
"2","2","95","249","112"
"3","2","115","13","132"
"4","2","101","255","118"
"5","2","95","249","112"
"6","2","115","13","132"
"7","2","101","255","118"
"8","2","95","249","112"
"9","2","115","13","132"
"10","2","101","255","118"
"11","2","95","249","112"
"12","2","115","13","132"
"13","2","101","255","118"
"14","2","95","249","112"
"15","2","115","13","132"
"16","2","101","255","118"
"17","2","95","249","112"
